DOY,Temperature,PARi,PP,PET,eta,lai,gcut_height,grazing_animal_count,grazing_avg_animal_weight
1,-0.84125,2.22092475,0.119,0.602689848,0,0,0,0,0
2,-0.047723404,0.979256681,0,0.374118163,0,0,0,0,0
3,-0.238979167,0.5285055,0,0.173686029,0,0,0,0,0
4,-0.174083333,1.064367,0.646,0.300225238,0,0,0,0,0
5,-0.037104167,0.2468025,0.476,0.102412687,0,0,0,0,0
6,0.377875,0.4874055,0.595,0.151285007,0,0,0,0,0
7,1.3433125,0.59306025,0.833,0.162447054,0,0,0,0,0
8,-0.064604167,0.79297725,0.102,0.223671563,0,0,0,0,0
9,-1.195875,1.4916,0.187,0.416778309,0,0,0,0,0
10,-1.400708333,2.57573025,0,0.709473344,0,0,0,0,0
11,-3.147266667,1.9233552,0.051,0.445045769,0,0,0,0,0
12,4.034479167,0.59953275,2.856,0.314906501,0,0,0,0,0
13,8.014083333,0.3307425,7.735,0.166917738,0,0,0,0,0
14,7.265416667,0.8163495,2.703,0.385841479,0,0,0,0,0
15,3.0245625,0.3663405,3.043,0.248109641,0,0,0,0,0
16,-2.0446875,0.97829775,7.021,0.277854154,0,0,0,0,0
17,4.728875,1.5937275,8.381,0.498373835,0,0,0,0,0
18,2.806520833,1.887927,0.068,0.612756635,0,0,0,0,0
19,4.547375,2.812905,0,1.317113954,0,0,0,0,0
20,10.413125,1.94882475,0,2.070709409,0,0,0,0,0
21,10.40951064,1.020531064,3.451,1.348662288,0,0,0,0,0
22,7.067770833,0.4285125,16.575,0.563620192,0,0,0,0,0
23,4.321791667,1.37304225,4.879,0.52470142,0,0,0,0,0
24,0.66975,0.9944025,5.015,0.304815306,0,0,0,0,0
25,1.084625,1.37142975,0,0.470757558,0,0,0,0,0
26,-0.441416667,1.92422775,0.153,0.620074091,0,0,0,0,0
27,5.4030625,0.835917,1.36,0.36979569,0,0,0,0,0
28,10.94104167,0.870267,4.743,0.388462327,0,0,0,0,0
29,10.55791667,1.83089475,2.652,1.014142135,0,0,0,0,0
30,9.3405,1.44377475,5.814,0.768312557,0,0,0,0,0
31,8.687770833,1.43742525,4.437,0.562176596,0,0,0,0,0
32,9.928333333,1.4736495,11.73,0.571870764,0,0,0,0,0
33,11.361875,1.37067525,2.244,0.691097668,0,0,0,0,0
34,11.73022917,1.981653,3.961,1.224919765,0,0,0,0,0
35,7.003729167,0.95136975,1.904,0.363577913,0,0,0,0,0
