DOY,Temperature,PARi,PP,PET,eta,lai,gcut_height,grazing_animal_count,grazing_avg_animal_weight
230,15.92708333,2.5647795,0,1.335960928,0.667980464,6.55020028125,0,0,0
231,15.736875,6.10935,0.034,2.552188323,1.2760941615,7.3362556875,0,0,0
232,18.49958333,9.00747525,0.017,4.060387903,2.0301939515,7.42427475,0,0,0
233,20.28833333,7.3720575,0.068,3.801452705,1.9007263525,7.1652159375,0,0,0
234,18.916875,6.5430975,0,3.182712008,1.591356004,6.7827965625,0,0,0
235,15.52708333,5.6957475,0.034,2.438055353,1.2190276765,6.41365659375,0,0,0
236,17.99270833,6.62466975,0.102,3.172521274,1.586260637,6.4753794375,0,0,0
237,17.26291667,8.48442525,0.034,3.891659773,1.9458298865,6.7233735,0,0,0
238,16.82875,8.85322275,0.085,3.952292314,1.976146157,6.5103924375,0,0,0
239,15.41083333,6.8135025,0,3.028797461,1.5143987305,6.141256125,0,0,0
240,13.8455625,6.93500475,0.034,2.9531378,1.4765689,6.02674453125,0,0,0
241,13.124625,4.3127025,0.017,1.842143536,0.921071768,6.182072625,0,0,0
242,14.058125,3.58997775,0.068,1.593332061,0.7966660305,6.66404446875,0,0,0
243,16.17395833,6.18953025,0.136,2.826321257,1.4131606285,7.214535,0,0,0
244,17.19354167,8.60862225,0.034,4.128172399,2.0640861995,7.1739680625,0,0,0
245,19.41666667,6.78057675,0,3.581708849,1.7908544245,6.53815528125,0,0,0
246,20.81520833,5.90013225,0.782,2.967365136,1.483682568,6.319295625,0,0,0
247,19.40666667,5.89740975,0.034,2.83695054,1.41847527,6.45191878125,0,0,0
248,20.621875,8.1776295,0.119,4.05215558,2.02607779,6.629782875,0,0,0
249,21.73020833,8.16847725,0.034,4.459082481,2.2295412405,6.513122625,0,0,0
250,22.7575,7.993902,0,4.750463025,2.3752315125,6.14794115625,0,0,0
251,21.7075,5.86499475,72.365,3.180299255,1.5901496275,5.685564,0,0,0
252,19.42208333,3.52212,3.434,1.658906385,0.8294531925,5.55585965625,0,0,0
253,19.04604167,5.0296995,16.558,2.219425553,1.1097127765,5.9261165625,0,0,0
254,17.86104167,6.9611175,0.204,3.021834347,1.5109171735,5.92517475,0,0,0
255,17.31333333,7.3203225,0.119,3.234803527,1.6174017635,5.18424571875,0,0,0
256,20.21625,7.2443475,0.119,3.545923618,1.772961809,4.54413946875,0,0,0
257,21.983125,5.2470255,6.562,2.792885194,1.396442597,3.96739884375,0,0,0
258,19.68895833,4.29488475,14.892,1.882342183,0.9411710915,4.12931259375,0,0,0
259,18.44729167,4.82736,0.085,2.059812284,1.029906142,4.43922984375,0,0,0
260,16.813125,6.48417525,0.119,2.833100328,1.416550164,4.67966925,0,0,0
261,16.85020833,5.022165,19.686,2.416586721,1.2082933605,4.321324875,0,0,0
262,13.53791667,1.03368525,36.193,0.387053153,0.1935265765,4.312863,0,0,0
263,13.80395833,2.1994725,3.723,0.789886768,0.394943384,4.70932490625,0,0,0
264,14.33208333,2.6304225,0.102,0.985416864,0.492708432,5.06320584375,0,0,0
265,13.87395833,6.5423355,0.272,2.602444042,1.301222021,5.311722375,0,0,0
266,13.85360417,6.77422275,0.187,2.787852467,1.3939262335,5.248681125,0,0,0
267,15.23325,6.75087525,0.136,2.964784467,1.4823922335,4.98722175,0,0,0
268,15.97520833,3.61742025,1.479,1.634231887,0.8171159435,4.6763214375,0,0,0
269,18.10333333,4.95447,0.595,2.551426956,1.275713478,4.36069828125,0,0,0
270,16.10958333,4.2053805,0.068,2.151724938,1.075862469,4.27917421875,0,0,0
271,12.6725625,5.03052,0.085,1.990189312,0.995094656,4.13282353125,0,0,0
272,13.85416667,4.61855475,0.748,2.23282068,1.11641034,4.0713425625,0,0,0
273,10.04416667,6.0380055,0.068,2.363964057,1.1819820285,4.031455125,0,0,0
274,11.34077083,4.68254775,0.068,2.146517503,1.0732587515,3.9102819375,0,0,0
275,16.95166667,4.26367275,0.187,2.577773124,1.288886562,3.96428596875,0,0,0
276,16.061875,1.092435,6.919,1.175512305,0.5877561525,3.99755475,0,0,0
277,13.17895833,4.3022775,0.068,1.83385802,0.91692901,4.17537815625,0,0,0
278,12.88958333,3.034575,2.091,1.474472646,0.737236323,4.09037878125,0,0,0
279,10.9290625,4.53867225,0.102,1.924993519,0.9624967595,4.22369475,0,0,0
280,9.360125,4.29945525,0.068,1.657823433,0.8289117165,4.309161,0,0,0
281,10.581875,5.06862,0.17,2.002079626,1.001039813,4.35809784375,0,0,0
282,11.22945833,5.11458,0.102,2.015692421,1.0078462105,4.34313,0,0,0
283,8.541333333,4.529823,0.187,1.645605965,0.8228029825,4.28713903125,0,0,0
284,6.453895833,2.51502225,0.102,0.904820783,0.4524103915,4.20386465625,0,0,0
285,7.355604167,3.6222825,0.102,1.27709688,0.63854844,4.454949375,0,0,0
286,9.660458333,4.10110275,0,1.601668704,0.800834352,4.2182446875,0,0,0
287,6.990833333,5.22240225,0.102,2.034302396,1.017151198,4.1806318125,0,0,0
288,7.4025,4.69095,0.051,1.848272071,0.9241360355,4.07942775,0,0,0
289,7.834979167,4.94887725,0.085,1.951886743,0.9759433715,4.0063125,0,0,0
290,10.34891667,4.66665225,0.204,1.945908002,0.972954001,3.95495221875,0,0,0
291,12.30395833,3.863628,0.068,1.76242818,0.88121409,3.662421,0,0,0
292,17.94375,4.5237,0,2.619627707,1.3098138535,3.61319278125,0,0,0
293,17.336875,1.728645,10.268,1.663063092,0.831531546,3.5770711875,0,0,0
294,13.90020833,3.80019975,3.026,2.536154291,1.2680771455,3.85006209375,0,0,0
295,7.226583333,4.41276975,0.102,1.459428672,0.729714336,3.5883905625,0,0,0
296,6.8800625,4.106028,0,1.610544325,0.8052721625,3.27087028125,0,0,0
297,7.4395625,4.537995,0.17,1.87044818,0.93522409,3.14824490625,0,0,0
298,10.28991667,2.3264025,0.119,1.061154502,0.530577251,2.88234309375,0,0,0
299,11.4486875,3.46980225,0.136,1.388391502,0.694195751,2.8693515,0,0,0
300,7.703708333,4.23472725,0.102,1.692246479,0.8461232395,2.6691928125,0,0,0
301,10.72489583,3.91257225,0.17,1.810739373,0.9053696865,2.35159565625,0,0,0
302,12.198,1.7068275,0.136,1.10570246,0.55285123,2.0199931875,0,0,0
303,14.72,1.8726075,7.752,0.95265269,0.476326345,2.10318721875,0,0,0
304,14.69458333,3.125025,5.525,1.915886055,0.9579430275,2.04077971875,0,0,0
305,10.87354167,2.4107805,0.136,1.226236307,0.6131181535,1.96869159375,0,0,0
306,9.786395833,2.22246975,7.004,1.164457832,0.582228916,2.05371871875,0,0,0
307,7.16625,1.86853275,5.712,0.632588049,0.3162940245,2.09254434375,0,0,0
308,5.349875,1.69395,0.17,0.551509497,0.2757547485,2.19256771875,0,0,0
309,6.9389375,1.2597525,1.836,0.47056433,0.235282165,2.36621240625,0,0,0
310,4.432958333,2.37237975,0.204,0.764046293,0.3820231465,2.3835024375,0,0,0
311,6.309375,1.3733475,0.952,0.492646155,0.2463230775,2.223282375,0,0,0
312,6.446354167,2.54832,0.068,0.934754184,0.467377092,2.12319553125,0,0,0
313,2.1028125,3.0909975,0.119,0.923083851,0.4615419255,1.871305875,0,0,0
314,2.991104167,2.53307475,0.221,0.862473683,0.4312368415,1.577609625,0,0,0
315,6.7725625,2.66871975,0,1.032273716,0.516136858,1.32637115625,0,0,0
316,6.356125,3.0831075,0.102,1.262741346,0.631370673,1.2725971875,0,0,0
317,9.644375,1.39807275,1.853,0.55380233,0.276901165,1.07552128125,0,0,0
318,9.022854167,1.09061925,3.383,0.418458607,0.2092293035,0.9646419375,0,0,0
319,7.771416667,0.57265275,0.221,0.256819316,0.128409658,0.884746125,0,0,0
320,6.093333333,0.53320275,0.476,0.227691044,0.113845522,1.02256828125,0,0,0
321,6.655395833,0.7414275,0.901,0.280733779,0.1403668895,1.25659603125,0,0,0
322,7.667520833,0.523167,0.119,0.225272617,0.1126363085,1.24912790625,0,0,0
323,3.095083333,2.238528,0.221,0.603249336,0.301624668,1.31687015625,0,0,0
324,3.486354167,1.50650025,0.051,0.427050535,0.2135252675,1.1706016875,0,0,0
325,2.583875,0.511038,0.442,0.171023003,0.0855115015,1.0455969375,0,0,0
326,5.265020833,0.45145275,0.289,0.244122693,0.1220613465,1.14387871875,0,0,0
327,3.662375,1.67523,0,0.702727455,0.3513637275,1.2522628125,0,0,0
328,0.8210625,2.40542475,0.119,0.657255009,0.3286275045,1.15170215625,0,0,0
329,1.571645833,0.6816825,0.986,0.222031222,0.111015611,1.021513125,0,0,0
330,3.720979167,1.065105,1.224,0.443610858,0.221805429,1.07530434375,0,0,0
331,3.033333333,1.06838025,9.163,0.356768392,0.178384196,1.055737125,0,0,0
332,2.101958333,0.50646225,5.049,0.171312,0.085656,1.04523965625,0,0,0
