"day","Mean biomass (kg DM/ha)","Mean green vegetative biomass (kg DM/ha)","Mean green reproductive biomass (kg DM/ha)","Mean dry vegetative biomass (kg DM/ha)","Mean dry reproductive biomass (kg DM/ha)","Harvested Biomass (kg DM/ha)","Ingested Biomass (kg DM/ha)","Mean GRO biomass (kg DM/ha)","Mean available biomass for cut (kg DM/ha)"
179,1843.0247163108747,1104.9014558607212,35.222218392196055,605.4089283846612,97.49211367329653,5299.712849666272,0.0,95.63690667838874,1057.802497918679
180,1907.7978489529075,1161.5145724980018,33.664185575151535,616.036802311193,96.58228856856107,5299.712849666272,0.0,104.08166826213304,1124.133663377756
181,1937.2479296447905,1181.6818808146968,32.03315578403544,627.9854865851776,95.54740646088055,5299.712849666272,0.0,73.24509663108839,1155.214773860755
182,1995.4310469802515,1229.0696882346695,30.306168273148963,641.7017937777767,94.35339669465635,5299.712849666272,0.0,107.86639445124177,1215.1248787071024
183,2047.0506156276344,1268.0441907076374,28.486472282201134,657.5434650313017,92.976487606494,5299.712849666272,0.0,108.18860131076224,1268.5641433454332
184,2069.5999974538877,1277.7507518320838,26.846274620612387,673.3910311776954,91.61193982349606,5299.712849666272,0.0,78.18597116391362,1292.753722833275
185,2121.604931066164,1317.0712282225347,25.389864222712628,688.8517443463551,90.29209427456159,5299.712849666272,0.0,105.67884659894608,1346.2150668434513
186,2166.4544999287154,1346.8311115999868,23.816486074161404,707.0537495697029,88.7531526848642,5299.712849666272,0.0,107.52687156354648,1392.638013854554
187,2211.6660553520396,1378.2701049410703,22.52896683699224,723.4828132164495,87.38417035752765,5299.712849666272,0.0,101.29112797648116,1439.1370885150473
188,2264.523542504554,1417.3617925516778,21.354911971869917,739.760354828249,86.04648315275702,5299.712849666272,0.0,108.11309061664576,1493.168630532684
189,2324.0517970064698,1462.7749383824557,20.252798311821692,756.3162888396276,84.70777147256469,5299.712849666272,0.0,115.4270020302581,1553.7989986946482
190,2395.977294653583,1519.4549537007558,19.163830662390403,774.0568801924335,83.30163009800344,5299.712849666272,0.0,131.43231364309756,1626.8134639911927
191,2447.69648759813,1555.9370907555153,18.175216548285977,791.6403203259656,81.94385996836311,5299.712849666272,0.0,110.15638094307586,1679.521271049844
192,2497.0246656266263,1588.3684675237116,17.175477402718915,810.990756031205,80.48996466899034,5299.712849666272,0.0,113.06507026227699,1729.849188223907
193,2494.8838133812956,1570.935597318407,16.353480523399785,828.3732479157467,79.22148762374218,5299.712849666272,0.0,54.663509439284894,1728.5303328578957
194,2548.58649740295,1609.776450455077,15.61216703051228,845.1789212726193,78.01895864474129,5299.712849666272,0.0,108.57328323481009,1782.9743303724376
195,2551.410891110397,1596.3633265024664,14.855006202189495,863.4597577030933,76.73280070264818,5299.712849666272,0.0,62.598928964508595,1786.5558849082076
196,2584.8192303928304,1610.958235311041,14.035306960101229,884.5541859963713,75.27150212531639,5299.712849666272,0.0,102.69196643228473,1820.7839234327287
197,2555.599890943194,1564.7071690436205,13.344480379458197,903.5765333199329,73.97170820018236,5299.712849666272,0.0,33.828745806412904,1793.2837023635534
198,2573.7179262626155,1564.778537278171,12.65090935190265,923.6842312613784,72.60424837116352,5299.712849666272,0.0,85.76511546252188,1813.4627685395494
199,2619.428232128194,1589.3980646254327,11.878697844936003,947.1453337417396,71.0061359160859,5299.712849666272,0.0,126.36768202056513,1861.5433983671724
200,2653.9292784976133,1601.034858094228,11.087828990673684,972.5315102993824,69.27508111332916,5299.712849666272,0.0,124.0134792852325,1898.5663683936104
201,2683.581915642477,1608.0293807068504,10.351493197407041,997.6371494098357,67.5638923283836,5299.712849666272,0.0,120.59859863789205,1930.666530116686
